Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2021-07-20 01:53:12;2021-07-20 08:00:29;71%;73%;Good;58;4130;Normal;99.6;Hermiston;41.5;22036.5;21595.8;440.7;2021-07-20 08:00:00;2021-07-20 08:00:00;true;89.8;72.1;Sunny;Ate late:Energy Drink - During Day:Good day:Late Night TV:Tired
2021-07-20 23:25:47;2021-07-21 06:35:30;83%;79%;Good;52;3286;Normal;99.5;Hermiston;21.2;25783.3;25267.7;515.7;2021-07-21 06:35:00;2021-07-21 06:35:00;true;120.0;67.3;Fair;Ate late:Energy Drink - During Day:Good day:Late Night TV:Tired
2021-07-23 23:44:27;2021-07-24 06:33:02;79%;97%;OK;52;8699;Normal;99.9;Hermiston;29.2;24514.7;24024.4;490.3;2021-07-24 06:40:00;2021-07-24 07:10:00;true;120.0;66.7;Sunny;Good day:Headache:Tired
2021-07-26 02:49:41;2021-07-26 07:30:21;54%;66%;Good;58;2846;Normal;99.3;Hermiston;39.3;16839.7;15155.8;336.8;2021-07-26 08:15:00;2021-07-26 08:45:00;true;60.0;73.4;Partly cloudy;Good day:Late Night TV:Tired
2021-07-27 01:21:15;2021-07-27 06:31:51;59%;73%;OK;52;2004;Normal;99.2;Hermiston;20.0;18636.3;16710.5;1304.5;2021-07-27 06:30:00;2021-07-27 06:30:00;true;0.0;76.8;Partly cloudy;Ate late:Good day:Late Night TV:Tired
2021-07-28 01:23:44;2021-07-28 06:30:40;59%;90%;Good;53;8087;Normal;99.9;Hermiston;26.6;18416.2;14733.0;1657.5;2021-07-28 06:30:00;2021-07-28 06:30:00;true;2576.9;73.0;Partly cloudy;Good day:Late Night Gaming:Late Night TV:Tired
2021-07-31 00:18:10;2021-07-31 02:11:31;22%;55%;OK;60;8534;Normal;99.2;Hermiston;9.4;6801.0;6664.9;136.0;2021-07-31 02:25:00;2021-07-31 02:55:00;true;0.0;32.0;No weather;Energy Drink - During Day:Good day:Late Night TV:Swam:Tired:Worked out
2021-07-31 02:12:31;2021-07-31 06:09:39;45%;90%;Good;53;8556;Normal;99.2;Hermiston;22.0;14227.7;13042.1;284.6;2021-07-31 06:00:00;2021-07-31 06:30:00;true;137.2;83.1;Partly cloudy;Energy Drink - During Day:Good day:Late Night TV:Nap:Swam:Tired:Worked out
2021-08-01 00:52:42;2021-08-01 09:03:06;93%;65%;Good;60;4137;Normal;99.6;Hermiston;18.0;29424.3;28639.6;784.6;2021-08-01 09:00:00;2021-08-01 09:30:00;true;660.0;83.5;Cloudy;Energy Drink - During Day:Good day:Late Night TV:Tired
2021-08-02 02:10:48;2021-08-02 06:08:46;45%;65%;Good;54;4721;Normal;99.8;Hermiston;39.5;14278.0;12279.1;1380.2;2021-08-02 06:00:00;2021-08-02 06:30:00;true;0.0;75.0;Partly cloudy;Good day:Late Night Gaming:Nap:Tired
